Asset,Target,Group,Freq,Horizon,ControlSet,Method,Type,RMSE,MAE,MAPE,R2
Nat.Gas,NatGas,A,D,5,Expert-DAG,CausalImpact,Causal,0.777758,0.616632,23.5355,-0.0577
Nat.Gas,NatGas,A,D,5,Expert-DAG,DML,Causal,0.489448,0.288456,9.3773,0.5793
Nat.Gas,NatGas,A,D,5,Expert-DAG,VAR+Granger,Causal,0.205301,0.119637,4.028,0.9259
Nat.Gas,NatGas,A,D,5,Expert-DAG,IV-2SLS,Causal,0.455879,0.275076,8.9973,0.6346
Nat.Gas,NatGas,A,D,21,Expert-DAG,CausalImpact,Causal,1.134889,0.893997,27.0775,-1.2093
Nat.Gas,NatGas,A,D,21,Expert-DAG,DML,Causal,0.754609,0.551582,19.157,0.0035
Nat.Gas,NatGas,A,D,21,Expert-DAG,VAR+Granger,Causal,0.218732,0.143673,5.1414,0.9158
Nat.Gas,NatGas,A,D,21,Expert-DAG,IV-2SLS,Causal,0.628981,0.432226,15.1445,0.3069
Nat.Gas,NatGas,A,D,1,PC-DAG,CausalImpact,Causal,0.901333,0.747756,30.105,-0.4275
Nat.Gas,NatGas,A,D,1,PC-DAG,DML,Causal,0.265791,0.160807,5.2967,0.8758
Nat.Gas,NatGas,A,D,1,PC-DAG,VAR+Granger,Causal,0.200382,0.110911,3.6724,0.9294
Nat.Gas,NatGas,A,D,1,PC-DAG,IV-2SLS,Causal,0.269006,0.156006,5.1363,0.8727
Nat.Gas,NatGas,A,D,5,PC-DAG,CausalImpact,Causal,0.776449,0.614873,23.4435,-0.0541
Nat.Gas,NatGas,A,D,5,PC-DAG,DML,Causal,0.455727,0.282518,9.3032,0.6352
Nat.Gas,NatGas,A,D,5,PC-DAG,VAR+Granger,Causal,0.199308,0.112313,3.7654,0.9301
Nat.Gas,NatGas,A,D,5,PC-DAG,IV-2SLS,Causal,0.455879,0.275076,8.9973,0.6346
Nat.Gas,NatGas,A,D,21,PC-DAG,CausalImpact,Causal,1.129766,0.888254,26.8996,-1.1894
Nat.Gas,NatGas,A,D,21,PC-DAG,DML,Causal,0.638846,0.459788,16.2067,0.2858
Nat.Gas,NatGas,A,D,21,PC-DAG,VAR+Granger,Causal,0.214912,0.141279,5.0984,0.9187
Nat.Gas,NatGas,A,D,21,PC-DAG,IV-2SLS,Causal,0.628981,0.432226,15.1445,0.3069
